"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"2b3yA","P21399","888","1.85","2487.1.1.2 7542.1.1.1 7542.1.1.1 7542.1.2.1","c.8.2.1 c.83.1.1","3.20.19.10 3.30.499.10 3.30.499.10 3.40.1060.10 6.10.190.10","38","19","43","1.59","28.72","0.810","0.897","No"
"2b7rA","P0C278","571","1.7","101.1.12.12 [278.1.1.9] 2003.1.2.143 139.2.1.5","a.138.1.3 c.3.1.4 d.168.1.1","1.10.1130.10 3.50.50.60 3.90.700.10","36","18","46","1.90","25.77","0.746","0.883","Yes"
"2b97A","P79073","71","0.75","707.1.1.2","b.138.1.1","3.20.120.10","13","38","49","0.89","10.80","0.793","0.740","No"
"2b9dA","P06465","52","1.6","[4123.1.1.1]","g.91.1.1","3.30.160.330","31","31","38","2.73","12.23","0.457","0.411","Yes"
"2bbrA","Q98325","195","1.2","[110.1.1.4] 110.1.1.4","-","1.10.533.10 1.10.533.10","64","0","36","1.79","18.53","0.825","0.841","Yes"
"2bf6A","Q59310","449","0.97","[5.1.3.123]","-","2.40.220.10 2.120.10.10","4","48","48","0.73","22.27","0.962","0.947","Yes"
"2bfwA","Q9V2J8","200","1.8","[7512.1.1.2]","c.87.1.8","3.40.50.2000","45","15","40","0.82","16.04","0.951","0.925","Yes"
"2bjqA","Q7YXK2","345","1.75","[4184.1.1.1] 4184.1.1.1 4184.1.1.1 4184.1.1.1","b.169.1.1 b.169.1.1","-","10","48","41","1.12","21.61","0.900","0.885","Yes"
"2bk9A","Q9VF15","153","1.2","[106.1.1.2]","a.1.1.0","1.10.490.10","75","0","25","0.83","15.48","0.931","0.869","Yes"
"2bkoA","O57975","205","1.9","604.5.1.6 [4261.1.1.2]","a.7.12.1 d.286.1.1","1.20.58.220 3.30.70.1450","56","12","32","2.11","20.61","0.763","0.741","Yes"
"2blnB","P77398","305","1.2","270.1.1.1 7571.1.1.1","b.46.1.1 c.65.1.1","3.10.25.10 3.40.50.170","29","28","43","0.90","22.78","0.902","0.907","No"
"2bmoB","Q8RTL4","194","1.2","243.1.1.17","d.17.4.4","3.10.450.50","27","36","37","2.00","18.98","0.784","0.765","No"
"2bo1A","P29160","101","1.7","[301.1.1.3]","d.79.3.1","3.30.1330.30","48","18","35","0.72","12.77","0.917","0.891","Yes"
"2btiA","A1JK11","63","2.0","[4313.1.1.1]","b.151.1.1","-","19","32","49","3.48","12.76","0.336","0.403","Yes"
"2bw3B","Q25438","84","2.0","[4202.1.1.]","a.270.1.1","1.10.10.1070","63","0","37","3.85","15.11","0.373","0.379","Yes"
"2c9iD","Q9GPI6","228","1.82","271.1.1.2","d.22.1.1","2.40.155.10","6","54","41","1.29","18.01","0.892","0.873","No"
"2cb5A","Q13867","453","1.85","219.1.1.194","d.3.1.1","3.90.70.10","43","17","40","1.88","24.82","0.871","0.882","No"
"2ccqA","Q96IV0","99","1.6","[320.4.1.1]","d.314.1.1","1.20.58.2190","56","8","36","0.68","12.97","0.906","0.851","Yes"
"2cfeA","O93970","162","1.5","[75.1.1.6]","b.62.1.1","2.40.100.10","15","31","54","0.76","14.42","0.894","0.895","Yes"
"2cg7A","P02751","90","1.2","[391.1.1.3] 391.1.1.4","g.27.1.1 g.27.1.1","2.10.70.10 2.10.70.10","0","56","44","1.60","17.01","0.633","0.536","Yes"
"2cwyA","Q5SM75","94","1.85","4266.2.1.1","a.246.2.1","1.10.3450.10","71","2","27","0.63","12.66","0.905","0.884","No"
"2cx7A","Q5SL92","130","1.75","268.1.1.3","d.106.1.1","3.30.1050.10","41","26","33","0.67","13.79","0.931","0.898","No"
"2cxiB","O73984","348","1.94","[865.1.1.1] 101.1.9.1 101.1.9.30","-","3.30.56.10 3.30.56.10 3.50.40.10","33","30","37","0.80","21.95","0.932","0.889","Yes"
"2cyjA","O59174","118","1.5","[7538.1.1.1]","c.103.1.1","3.40.1230.10","27","31","42","0.78","13.82","0.896","0.876","Yes"
"2d1lA","Q8R1S4","253","1.85","[4177.1.1.8]","-","1.20.1270.60","88","0","12","2.51","36.70","0.726","0.702","Yes"
"2d28C","P31742","149","2.0","[1112.1.1.4] 327.8.1.1","d.52.10.1","1.10.40.70 3.30.300.160","44","13","43","1.26","16.59","0.872","0.677","Yes"
"2d5bA","P23395","500","1.8","[140.1.1.17] 2005.1.1.144 375.1.1.387","a.27.1.0 c.26.1.1","1.10.730.10 2.170.220.10 3.40.50.620","51","15","34","1.26","27.51","0.946","0.917","Yes"
"2db7A","Q9Y5J3","64","1.9","[4082.1.1.]","a.273.1.1","6.10.250.980","64","0","36","3.31","15.19","0.515","0.540","Yes"
"2dkaA","Q9P4V2","544","1.93","331.2.1.5 7528.1.1.2","-","3.30.310.50 3.40.120.10","42","19","39","1.87","25.93","0.695","0.754","No"
"2dlbA","O34498","80","1.2","[4098.1.1.]","b.174.1.1","3.10.20.330","19","12","69","5.64","17.31","0.378","0.376","Yes"
"2dt4A","O58532","143","1.6","[4111.1.1.3]","d.290.1.0","3.30.1330.80","8","59","33","1.33","16.04","0.772","0.787","Yes"
"2dt8A","Q5SJQ7","280","1.48","301.13.1.2 [2010.1.1.6]","c.119.1.0","3.30.1180.10 3.40.50.10170","41","26","33","0.77","18.92","0.944","0.924","Yes"
"2dtrA","P0DJL7","226","1.9","4.1.1.250 101.1.2.45 [183.1.1.1]","a.4.5.24 a.76.1.1 b.34.1.2","1.10.10.10 1.10.60.10","47","18","35","1.73","19.11","0.763","0.682","Yes"
"2dwkA","Q9D394","180","2.0","[4193.1.1.1]","a.256.1.1","1.20.58.900","59","2","39","1.23","16.04","0.882","0.836","Yes"
"2e5yB","P07678","133","1.92","[56.1.1.2] 192.6.1.1","-","1.20.5.440 2.60.15.10","25","47","29","0.88","16.61","0.906","0.909","Yes"
"2e6xA","Q5SIT3","69","2.0","[6053.1.1.1]","-","3.10.20.570","32","29","39","1.45","13.03","0.740","0.699","Yes"
"2e7uA","Q5SJS4","424","1.9","[3016.1.1.32] [7577.1.1.1]","c.67.1.0","3.40.640.10 3.90.1150.10","41","17","42","0.91","22.10","0.941","0.903","Yes"
"2e7zA","Q71EW5","727","1.26","1.1.2.9 [1001.1.1.1] 2003.2.1.19 2003.2.1.25","-","2.20.25.90 2.40.40.20 3.40.50.740 3.40.228.10","35","17","49","0.83","25.23","0.955","0.953","Yes"
"2e8eA","O67503","132","1.7","[324.1.1.1]","-","3.30.300.20","34","42","24","2.47","16.86","0.750","0.714","Yes"
"2ebbA","Q5KYG7","101","1.6","[305.2.1.1]","d.74.1.0","3.30.1360.20","45","23","33","1.11","14.22","0.863","0.851","Yes"
"2ed6A","Q9ICB7","170","2.0","[4242.1.1.1]","b.170.1.1","2.60.40.2770","15","43","42","1.75","17.74","0.818","0.802","Yes"
"2ehqA","Q5SI02","516","1.55","7524.1.1.1 7524.1.1.2","c.82.1.1","3.40.309.10 3.40.605.10","42","20","38","0.94","24.09","0.943","0.944","No"
"2ejnB","P30438","153","1.64","173.1.1.1 173.1.1.2","a.101.1.1 a.101.1.1","1.20.920.50","75","0","25","1.29","15.65","0.935","0.883","No"
"2endA","P04418","138","1.45","[615.1.1.1]","a.18.1.1","1.10.440.10","45","1","54","0.91","15.95","0.894","0.830","Yes"
"2eo4A","Q96YM2","149","1.8","[312.1.1.13]","d.13.1.0","3.30.428.10","32","17","51","1.19","15.95","0.870","0.839","Yes"
"2erlA","P10774","40","1.0","[369.1.1.1]","a.10.1.1","1.20.50.10","62","0","38","0.65","9.41","0.840","0.647","Yes"
"2es9A","Q8ZRJ2","115","2.0","[4254.1.1.1]","a.247.1.1","1.20.1290.30","63","0","37","1.18","14.77","0.887","0.875","Yes"
"2ex2A","P24228","458","1.55","[4334.1.1.1] 4019.1.1.22 223.3.1.19 2494.2.1.1","e.3.1.3","3.40.710.10 3.50.80.20","32","26","42","1.22","25.54","0.926","0.872","Yes"
"2f5tX","Q7LYW4","233","1.45","4.15.1.1 300.1.1.7","b.38.5.1 d.136.1.5","2.30.30.690 3.30.870.10","27","40","32","0.79","18.04","0.942","0.951","No"
"2f60K","O00330","64","1.55","[147.1.1.1]","-","4.10.320.10","50","6","44","2.87","15.02","0.587","0.508","Yes"
"2f6eA","P16154","127","1.85","702.1.1.10","-","2.10.270.10","0","46","54","1.32","16.47","0.834","0.810","No"
"2fb5A","Q812L9","205","1.99","[4279.1.1.4]","d.320.1.1","1.10.287.770 3.40.1700.10","44","19","37","1.68","19.99","0.722","0.621","Yes"
"2fb6A","Q8A7V2","117","1.46","[7545.1.1.1]","-","3.40.1260.10","52","20","28","1.33","14.18","0.858","0.867","Yes"
"2fe5A","Q92796","94","1.1","[7.1.1.2]","b.36.1.1","2.30.42.10","15","37","48","0.84","12.69","0.877","0.836","Yes"
"2fefB","Q9I1R6","294","1.9","[4079.1.1.1] 633.9.1.1","a.29.11.1 a.254.1.1","1.10.3920.10 1.20.1440.70","64","0","36","0.95","19.81","0.933","0.909","Yes"
"2fhzA","P13476","109","1.15","[4222.1.1.1]","d.311.1.1","3.30.190.30","37","25","39","0.84","13.96","0.910","0.830","Yes"
"2fi9A","Q8RIU4","128","1.8","7538.1.1.1","c.103.1.1","3.40.1230.10","23","27","49","1.74","14.55","0.893","0.856","No"
"2fipA","P03682","115","2.0","[3429.1.1.1]","-","3.30.70.3560","40","14","46","0.87","14.89","0.854","0.840","Yes"
"2fj8A","P12940","125","1.19","[359.1.1.1] 359.1.1.1","g.3.13.1 g.3.13.1","2.10.69.10 2.10.69.10","0","30","70","3.84","17.00","0.490","0.508","Yes"
"2fmaA","P05067","59","0.85","[872.2.1.1]","d.230.3.1","3.30.1490.140","22","42","36","0.60","11.88","0.896","0.900","Yes"
"2fosA","P00918","260","1.1","[62.1.1.1]","b.74.1.1","3.10.200.10","13","31","56","0.91","17.79","0.922","0.876","Yes"
"2fp1A","P9WIB9","166","1.55","164.1.1.1","a.130.1.4","1.20.59.10","70","0","30","1.13","16.80","0.896","0.860","No"
"2ftxA","P40014","90","1.9","[4099.1.1.6]","d.300.1.1","3.30.457.50","44","22","33","1.76","12.59","0.800","0.763","Yes"
"2fygA","P0C6U8","128","1.8","[4136.1.1.1]","g.86.1.1","-","30","12","59","1.78","15.29","0.711","0.751","Yes"
"2fzpA","Q9H4P4","144","1.87","[4347.1.1.1]","d.345.1.1","-","41","14","45","3.60","15.43","0.793","0.846","Yes"
"2g64A","O02058","140","1.8","230.1.1.4","d.96.1.2","3.30.479.10","35","31","34","1.53","18.14","0.769","0.856","No"
"2g7oA","P10026","70","1.4","[4288.1.1.1]","a.241.1.1","1.10.287.2320","64","0","36","3.40","16.58","0.364","0.473","Yes"
"2gc4B","P29894","131","1.9","[914.1.1.1]","g.21.1.1","2.60.30.10","10","24","66","2.66","15.61","0.785","0.749","Yes"
"2gc4L","P29894","147","1.9","107.1.1.4","a.3.1.1","1.10.760.10","41","1","58","1.12","14.64","0.840","0.799","No"
"2gecA","P32923","139","1.3","704.1.1.2","b.148.1.1","-","2","24","74","1.90","15.80","0.862","0.831","No"
"2gg2A","P0AE18","263","1.0","[283.1.1.2]","d.127.1.1","3.90.230.10","29","27","44","0.75","17.98","0.941","0.927","Yes"
"2gg6A","Q9R4E4","455","1.64","[328.6.1.1] 328.6.1.9","d.68.2.2","3.65.10.10 3.65.10.10","32","26","41","1.56","23.49","0.769","0.880","Yes"
"2gh0D","O60609","101","1.92","385.1.1.11","g.17.1.0","2.10.90.10","15","44","42","3.19","19.01","0.651","0.596","No"
"2gibB","P59595","103","1.75","[808.1.1.]","d.254.1.2","-","40","12","49","3.04","14.74","0.469","0.480","Yes"
"2gkeA","P44859","274","1.35","286.1.1.1 286.1.1.1","d.21.1.1 d.21.1.1","3.10.310.10 3.10.310.10","17","38","45","1.71","20.33","0.641","0.754","No"
"2gkpA","Q9K0T5","167","1.35","[4269.1.1.1]","d.351.1.1","3.40.1590.10","34","26","40","0.90","16.07","0.921","0.889","Yes"
"2gkrI","P68390","51","1.16","[379.1.1.1]","g.68.1.1","3.30.60.30","20","18","63","0.64","10.43","0.872","0.701","Yes"
"2glzB","B8FYU2","153","1.45","298.2.1.1","d.81.3.1","3.30.1330.130","41","18","41","1.11","16.55","0.876","0.879","No"
"2gnoA","Q9WZM9","305","2.0","[138.1.1.9] 148.1.3.322 2004.1.1.227","a.80.1.1 c.37.1.20","1.10.8.250 1.20.272.10 3.40.50.300","62","9","29","1.96","22.21","0.736","0.552","Yes"
"2gpiA","A3QJE4","91","1.6","[4152.1.1.1]","d.354.1.1","3.30.160.140","35","31","34","1.05","13.24","0.840","0.856","Yes"
"2gs5A","Q6NEA9","198","1.5","[4113.1.1.1]","d.310.1.1","3.40.1740.10","21","32","46","1.42","17.45","0.876","0.834","Yes"
"2gwmA","P21454","200","1.5","[237.1.1.1]","-","3.90.176.10","38","22","40","1.20","18.77","0.909","0.863","Yes"
"2gwnA","Q7MVW1","452","1.85","[65.1.1.122] 2002.1.1.1050","-","2.30.40.10 3.20.20.140","33","23","44","0.87","22.14","0.933","0.925","Yes"
"2h1tB","Q9I2B5","188","1.8","71.2.1.2","b.178.1.1","-","7","48","45","2.05","16.91","0.771","0.703","No"
"2h2zA","P0C6X7","306","1.6","1.1.5.40 6001.1.1.2","b.47.1.4","1.10.1840.10 2.40.10.10 2.40.10.10","25","28","46","1.06","22.49","0.912","0.858","No"
"2hbaA","P02417","52","1.25","4076.1.1.5","d.100.1.1","3.40.5.10","33","23","44","1.24","10.76","0.683","0.606","No"
"2hgxB","O15382","365","1.8","4020.1.1.2 4045.1.1.2","e.17.1.1","3.20.10.10 3.30.470.10","25","29","45","1.16","22.08","0.906","0.837","No"
"2hhvA","Q5KWC1","580","1.55","4964.1.1.8 4970.1.1.14 304.48.1.34 2484.1.1.71","c.55.3.5 e.8.1.1","1.10.150.20 1.20.1060.10 3.30.70.370 3.30.420.10","56","13","32","1.54","27.83","0.865","0.799","No"
"2hngA","A0A0H2UQV3","127","1.63","[504.1.1.1]","d.33.1.2","3.10.420.10","27","40","33","0.98","17.95","0.852","0.858","Yes"
"2hnuA","P01175","81","2.0","[709.1.1.1]","b.9.1.1","2.60.9.10","15","40","46","1.61","11.87","0.565","0.520","Yes"
"2hq4A","O59278","161","1.99","[4089.1.1.1]","d.342.1.1","3.40.1600.10","30","22","47","0.85","16.60","0.911","0.907","Yes"
"2hqkA","Q9U6Y3","221","1.19","[271.1.1.2]","d.22.1.0","2.40.155.10","8","56","36","0.90","17.44","0.882","0.849","Yes"
"2hu9A","O29901","130","1.78","375.11.1.4 [6024.1.1.2]","-","1.10.10.1100 2.20.25.270","35","20","45","1.61","15.87","0.688","0.767","Yes"
"2hxmA","P13051","223","1.3","[7569.1.1.1]","c.18.1.1","3.40.470.10","40","11","49","0.74","17.30","0.927","0.924","Yes"
"2hy5A","O87896","130","1.72","7545.1.1.1","c.114.1.1","3.40.1260.10","43","20","37","0.80","14.64","0.881","0.911","No"
"2hyvA","P07355","308","1.42","[176.1.1.3] 176.1.1.3 176.1.1.3 176.1.1.13","a.65.1.0","1.10.220.10 1.10.220.10 1.10.220.10 1.10.220.10","74","0","26","1.00","22.00","0.930","0.880","Yes"
"2i2fA","Q8Y8D7","272","1.9","[4004.1.1.7] 2007.1.4.2","-","2.60.200.30 3.40.50.10330","20","39","41","1.74","21.25","0.862","0.840","Yes"
"2i5uA","Q830E8","83","1.5","[4230.1.1.1]","a.275.1.1","1.10.10.630","73","0","27","0.72","12.13","0.890","0.772","Yes"
"2i5vO","P0CL66","251","1.1","[77.1.1.2]","b.76.1.1","2.40.128.160 3.90.930.1","3","53","45","1.71","24.70","0.782","0.680","Yes"
"2i7cC","Q8II73","283","1.71","[3699.1.1.1] 2003.1.5.97","c.66.1.0","2.30.140.10 3.40.50.150","30","29","41","1.26","19.06","0.842","0.744","Yes"
"2i9wA","Q4FPZ7","184","1.75","243.1.1.38 [4236.1.1.1] 4236.1.1.2","d.17.4.30 g.74.1.1 g.74.1.1","3.10.450.50","28","28","43","1.64","17.36","0.795","0.748","Yes"
"2i9xA","Q8CML1","87","1.8","[4180.1.1.1]","d.366.1.1","3.30.1120.40","20","43","38","1.31","13.70","0.782","0.649","Yes"
"2ia1A","Q9K6M5","178","1.59","[4090.1.1.1]","d.359.1.1","1.10.10.10 3.30.500.20","45","20","35","1.58","17.38","0.876","0.894","Yes"
"2iayA","F9UQB2","114","1.2","[4097.1.1.1]","d.376.1.1","3.30.1820.10","23","32","46","1.08","14.19","0.804","0.822","Yes"
"2id6A","Q9X0C0","202","1.75","101.1.1.354 191.1.1.89","a.4.1.9 a.121.1.1","1.10.10.60 1.10.357.10","78","0","22","1.22","19.06","0.847","0.793","No"
"2ie6A","P14668","318","1.83","176.1.1.3 176.1.1.3 176.1.1.13 176.1.1.13","a.65.1.1","1.10.220.10 1.10.220.10 1.10.220.10 1.10.220.10","71","0","29","0.87","21.89","0.950","0.916","No"
"2igiA","P0A784","180","1.7","2484.1.1.54","c.55.3.5","3.30.420.10","47","16","37","0.97","17.29","0.868","0.883","No"
"2igpA","O14777","120","1.8","[193.1.1.6]","-","1.10.418.30","55","0","45","1.59","14.11","0.855","0.857","Yes"
"2ii1D","Q9KGN3","301","1.95","10.17.1.2 [3685.1.1.4]","b.23.3.0","-","13","36","51","1.22","19.96","0.857","0.842","Yes"
"2imfA","Q51948","203","1.3","3009.1.1.5 2485.1.1.71","-","3.40.30.10","60","10","31","1.25","17.45","0.873","0.791","No"
"2imsA","Q16611","171","1.48","5000.3.1.12","f.1.4.0","1.10.437.10","67","0","33","1.27","15.62","0.860","0.874","No"
"2in8A","P9WHJ3","139","1.7","[69.1.1.9]","-","2.170.16.10","6","58","36","0.59","14.28","0.952","0.895","Yes"
"2incA","O87798","491","1.85","150.1.2.10","a.25.1.2","1.10.620.20","64","2","34","1.37","24.54","0.859","0.841","No"
"2it2B","O58796","200","1.5","[871.1.1.1]","-","3.30.1960.10","43","24","32","1.03","19.94","0.893","0.823","Yes"
"2ixmA","Q15257","303","1.5","[4273.1.1.1]","a.268.1.1","1.20.120.1150","61","4","36","0.78","19.33","0.950","0.933","Yes"
"2j6aA","P53738","141","1.7","[4294.1.1.28]","-","2.20.25.10","33","16","51","1.51","16.05","0.841","0.792","Yes"
"2j6bA","-","109","1.3","[4259.1.1.1]","d.321.1.1","3.40.50.11170","25","26","50","0.96","14.16","0.875","0.797","Yes"
"2j7zA","P48061","68","1.95","1170.1.1.1","d.9.1.1","2.40.50.40","22","24","54","2.42","13.27","0.569","0.613","No"
"2jc5A","Q7DD47","259","1.5","[246.3.1.13]","d.151.1.0","3.60.10.10","30","26","44","0.64","17.50","0.956","0.958","Yes"
"2jddA","Q65LG7","146","1.6","[213.1.1.113]","d.108.1.1","3.40.630.30","31","36","33","1.34","15.65","0.744","0.779","Yes"
"2jekA","O07756","145","1.38","[4240.1.1.1]","a.255.1.1","1.25.40.380","58","1","41","1.11","14.65","0.911","0.897","Yes"
"2jftA","A0QTQ6","234","1.08","[210.2.1.1]","d.219.1.0","3.60.40.10","33","25","41","1.00","17.26","0.877","0.845","Yes"
"2jh3B","Q9RS86","474","1.9","[6031.1.1.1] [6030.1.1.1] 2007.1.14.2","-","3.30.70.2320 3.30.1360.190 3.40.50.1400 3.40.50.1400","43","19","39","1.24","24.41","0.923","0.858","Yes"
"2jhfB","P00327","374","1.0","236.1.1.22 2003.1.1.8","b.35.1.2 c.2.1.1","3.40.50.720 3.90.180.10","30","24","46","1.22","21.56","0.856","0.853","No"
"2jlqA","Q2YHF0","451","1.67","[5101.1.1.2] 2004.1.1.93 2004.1.1.196","c.37.1.14","3.40.50.300 3.40.50.300","32","18","50","1.15","23.31","0.927","0.908","Yes"
"2lisA","P04552","136","1.35","163.1.1.1","a.19.1.1","1.20.150.10","66","0","34","2.35","16.86","0.855","0.861","No"
"2nmlA","P84090","104","1.55","[4326.1.1.1]","d.330.1.1","3.30.2260.10","44","21","35","1.50","14.94","0.810","0.805","Yes"
"2nnuA","P03120","205","1.59","[52.1.1.1] [3017.1.1.1]","b.91.1.1","1.10.287.30 2.170.200.10","40","28","32","1.40","21.69","0.868","0.824","Yes"
"2nqwA","Q7MXD1","93","1.3","[217.2.1.1]","d.145.1.4","3.30.465.10","22","31","47","1.74","13.32","0.851","0.901","Yes"
"2nsaA","Q9WZF8","170","1.7","[589.1.2.1]","-","1.10.3120.10","74","1","25","1.99","20.31","0.709","0.837","Yes"
"2nugB","O67082","221","1.7","[171.1.1.5] 330.1.1.28","a.149.1.1 d.50.1.1","1.10.1520.10 3.30.160.20","61","11","28","2.22","20.66","0.704","0.646","Yes"
"2nukA","Q02762","141","1.2","[66.1.1.3] 4294.1.1.29","-","2.102.10.10","10","32","58","0.80","14.27","0.911","0.865","Yes"
"2nwvA","Q3M7V9","114","1.85","[4276.1.1.1]","d.326.1.1","3.30.310.110","32","34","34","1.09","15.18","0.854","0.877","Yes"
"2o4tA","Q9K5W1","100","1.95","[4125.1.1.1]","a.69.4.1","1.10.1900.10","79","0","21","3.48","16.44","0.680","0.599","Yes"
"2o6xA","Q24940","310","1.4","3998.1.1.1 219.1.1.194","d.3.1.0","3.90.70.10","34","20","45","0.85","20.06","0.955","0.915","No"
"2o74F","A1L259","174","1.8","[4110.1.1.2]","a.288.1.1","1.10.3330.10","66","0","34","1.26","17.38","0.907","0.867","Yes"
"2o7oA","P0ACT4","207","1.89","101.1.1.354 [191.1.1.4]","a.4.1.9 a.121.1.1","1.10.10.60 1.10.357.10","70","0","30","1.90","20.64","0.785","0.828","Yes"
"2oblA","B7UMA6","347","1.8","[160.1.1.6] 2004.1.1.53","-","1.20.1270.330 3.40.50.300","43","19","39","1.16","21.73","0.913","0.895","Yes"
"2oebA","O28417","155","1.66","[563.2.1.1]","a.70.2.1","1.10.520.30","70","0","30","0.77","15.23","0.928","0.910","Yes"
"2oezB","Q87LT3","247","1.97","[4287.1.1.1] [4946.1.1.1]","e.68.1.1","1.10.3900.10 2.60.440.10","52","19","29","1.54","22.29","0.794","0.876","Yes"
"2ofzA","P59595","138","1.17","[704.1.1.2]","-","-","0","22","78","1.46","15.93","0.738","0.763","Yes"
"2onfB","Q9HLN2","140","1.7","324.1.1.1","d.227.1.1","3.30.300.20","30","38","32","2.16","17.15","0.721","0.643","No"
"2op6A","P20163","152","1.85","511.1.1.3","-","2.60.34.10","18","39","43","0.82","16.14","0.916","0.923","No"
"2ot9A","Q886T9","180","1.97","[2008.1.1.62]","c.52.1.33","3.10.640.10","23","39","38","0.88","16.09","0.918","0.920","Yes"
"2ov9C","Q0S4E1","216","1.9","[3768.1.1.3] 222.1.1.55","d.38.1.5","1.20.58.350 3.10.129.10","27","25","47","1.88","19.30","0.727","0.670","Yes"
"2ovjA","Q9H0H5","201","1.49","[189.1.1.14]","a.116.1.0","1.10.555.10","61","0","39","0.93","16.96","0.907","0.884","Yes"
"2ox7B","Q835D7","155","1.78","4999.1.1.1 4112.1.1.3","b.172.1.1","2.30.30.290 2.30.30.310","11","46","43","2.60","19.07","0.699","0.585","No"
"2oxlB","P75993","64","1.8","[639.2.1.1]","-","1.20.5.5260","77","0","23","1.14","11.92","0.846","0.790","Yes"
"2oxoA","P03700","103","2.0","[186.1.1.3]","-","1.10.150.130","68","2","30","1.25","13.59","0.857","0.838","Yes"
"2oy9B","Q9K9K7","98","1.6","[4296.1.1.1]","a.276.1.1","1.10.220.80","58","4","38","1.57","13.84","0.819","0.800","Yes"
"2oyaB","Q60754","102","1.77","358.1.1.5","d.170.1.0","3.10.250.10","18","25","58","2.31","13.58","0.771","0.779","No"
"2ozlA","P08559","365","1.9","7574.1.1.1","c.36.1.11","3.40.50.970","41","15","44","2.49","22.45","0.846","0.858","No"
"2p12A","Q0SI31","176","1.63","[4237.1.1.1]","b.175.1.1","2.40.380.10","22","38","41","1.23","16.44","0.888","0.893","Yes"
"2p2vA","Q9RGF1","288","1.85","[7555.1.1.1]","c.130.1.0","3.90.1480.10","39","14","48","1.04","18.91","0.898","0.878","Yes"
"2p3pB","Q7MUU3","207","1.76","[4350.1.1.1]","d.383.1.1","-","21","32","47","1.33","19.61","0.866","0.829","Yes"
"2p54A","Q07869","267","1.79","188.1.1.1","a.123.1.1","1.10.565.10","66","5","29","0.97","19.18","0.883","0.871","No"
"2p58A","O68692","65","1.8","[3812.1.1.1]","-","1.20.5.420","91","0","9","1.09","16.01","0.885","0.556","Yes"
"2p6hB","Q9YBS9","134","1.95","846.1.1.1","d.273.1.0","2.60.120.460","27","37","37","0.82","15.85","0.882","0.904","No"
"2p6vA","O00268","114","2.0","[4218.1.1.1]","a.277.1.1","1.20.120.1110","68","0","32","2.15","15.13","0.801","0.759","Yes"
"2p84A","Q4ZC86","145","1.8","[4999.1.1.1] [4112.1.1.3]","b.172.1.1","2.30.30.290 2.60.430.10","7","38","55","4.23","19.30","0.653","0.648","Yes"
"2p9xD","O58562","99","1.65","[6049.1.1.1]","-","1.10.1200.200","78","0","22","0.66","12.83","0.825","0.790","Yes"
"2pa6B","Q60173","427","1.85","218.1.1.1 2002.1.1.58","c.1.11.1 d.54.1.1","3.20.20.120 3.30.390.10","41","19","40","0.82","22.47","0.942","0.973","No"
"2pagA","Q87TZ9","135","1.6","[4205.1.1.2]","d.369.1.1","3.40.1580.10","37","14","49","0.94","14.75","0.873","0.842","Yes"
"2pbkB","O36607","228","1.73","[50.1.1.1]","b.57.1.1","3.20.16.10","32","23","44","1.08","17.51","0.868","0.872","Yes"
"2pcnA","Q5KYY8","161","1.9","[2487.1.1.9]","-","3.50.30.40","19","36","45","0.75","15.15","0.934","0.934","Yes"
"2pfxA","Q1GDR9","191","1.7","[608.1.1.1]","a.152.1.3","1.20.5.810 1.20.1290.10","68","0","32","1.81","17.73","0.718","0.706","Yes"
"2phnA","O28028","254","1.35","101.25.1.1 [4093.1.1.1]","d.340.1.1","3.30.1330.100 3.90.1660.10","32","23","45","1.73","19.94","0.841","0.731","Yes"
"2pmbC","Q9KTK3","462","1.99","[3623.1.1.1] 7563.1.1.2","c.129.1.1 d.58.65.1 f.68.2.1","3.30.1850.10 3.40.50.450","50","13","37","1.09","22.55","0.917","0.903","Yes"
"2pmkA","P08716","243","1.6","[2004.1.1.1405]","c.37.1.12","3.40.50.300","33","23","44","1.18","19.12","0.848","0.827","Yes"
"2pnwA","A9CKT8","380","1.9","1.1.2.1 [239.1.1.1]","b.52.1.4","2.40.40.10 2.40.240.50","26","27","47","1.60","23.02","0.874","0.823","Yes"
"2po4A","Q859P9","1104","2.0","4964.1.1.13 [4966.1.1.10] 4970.1.1.19 304.48.1.50","-","1.20.140.110 3.30.70.2440 3.30.750.220 6.10.140.1360 6.10.140.1370 6.10.250.1860","57","11","32","1.10","32.47","0.931","0.936","Yes"
"2ppvA","A0A0H2VHQ6","332","2.0","[7513.1.1.1]","c.143.1.0","3.40.50.10680","41","18","42","1.44","20.37","0.929","0.915","Yes"
"2pq8A","Q9H7Z6","278","1.45","101.1.15.4 213.1.1.41 [386.1.1.33]","d.108.1.1","1.10.10.10 3.30.60.60 3.40.630.30","32","23","45","1.20","21.49","0.906","0.789","Yes"
"2pqxA","P21338","245","1.42","[280.1.1.1]","-","3.90.730.10","40","16","43","0.86","17.86","0.922","0.878","Yes"
"2prvA","O34596","153","1.3","4205.1.1.3","d.369.1.1","3.40.1580.10","44","24","32","1.20","16.55","0.886","0.886","No"
"2pspB","P01359","106","1.95","355.1.1.3 355.1.1.3","g.16.1.1 g.16.1.1","4.10.110.10 4.10.110.10","24","9","67","1.10","15.85","0.807","0.706","No"
